	t	genotype	recovered_window
0	35.8	0.0	36.0
1	35.6	0.0	36.0
2	33.9	6.0	36.0
3	32.8	0.0	36.0
4	32.7	0.0	36.0
5	32.5	0.0	36.0
6	32.4	4.0	36.0
7	33.2	0.0	36.0
8	35.0	0.0	36.0
9	34.8	0.0	36.0
0	37.3	0.0	40.0
1	38.7	0.0	40.0
2	37.9	0.0	40.0
3	36.9	0.0	40.0
4	40.0	4.0	40.0
5	38.1	4.0	40.0
6	39.8	28.0	40.0
7	38.5	15.0	40.0
8	39.5	0.0	40.0
9	39.5	16.0	40.0
0	43.9	0.0	44.0
1	43.0	0.0	44.0
2	41.8	4.0	44.0
3	41.8	16.0	44.0
4	43.7	0.0	44.0
5	41.1	16.0	44.0
6	41.9	0.0	44.0
7	42.3	0.0	44.0
8	41.4	5.0	44.0
9	43.5	14.0	44.0
0	47.8	59.0	48.0
1	45.1	23.0	48.0
2	45.2	0.0	48.0
3	45.5	46.0	48.0
4	46.4	4.0	48.0
5	47.4	16.0	48.0
6	47.2	0.0	48.0
7	47.5	16.0	48.0
8	46.9	4.0	48.0
9	45.3	51.0	48.0
0	48.2	4.0	52.0
1	51.5	0.0	52.0
2	51.4	97.0	52.0
3	49.0	23.0	52.0
4	48.9	50.0	52.0
5	51.6	0.0	52.0
6	48.2	14.0	52.0
7	48.9	23.0	52.0
8	51.0	98.0	52.0
9	48.1	19.0	52.0
